日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/03/03,"1,041,415","43,942,907",41.95,43.00,41.80,41.95,-1.40,957
114/03/04,"490,562","20,526,276",41.50,42.45,40.90,42.40,+0.45,415
114/03/05,"1,112,752","48,276,228",42.70,44.15,42.00,43.60,+1.20,782
114/03/06,"527,615","22,775,079",43.70,44.00,42.40,42.40,-1.20,581
114/03/07,"316,499","13,456,820",42.40,43.00,42.15,42.50,+0.10,261
114/03/10,"357,710","15,181,078",42.50,42.80,42.20,42.30,-0.20,230
114/03/11,"873,206","35,429,929",42.00,42.00,39.40,41.60,-0.70,815
114/03/12,"472,790","19,729,978",41.50,42.15,41.15,41.55,-0.05,389
114/03/13,"503,874","20,593,236",42.05,42.25,40.15,40.15,-1.40,505
114/03/14,"269,639","10,901,029",40.75,40.85,40.20,40.25,+0.10,256
114/03/17,"300,119","12,184,867",40.65,41.00,40.25,40.25, 0.00,225
114/03/18,"231,530","9,368,041",41.00,41.00,40.20,40.45,+0.20,216
114/03/19,"224,398","9,069,753",40.85,40.85,40.10,40.30,-0.15,255
114/03/20,"368,479","15,121,625",40.50,41.25,40.50,41.20,+0.90,316
114/03/21,"235,897","9,619,020",41.20,41.20,40.65,40.65,-0.55,224
114/03/24,"302,416","12,326,216",41.05,41.30,40.45,40.55,-0.10,373
114/03/25,"550,715","22,090,437",40.80,41.10,39.70,39.95,-0.60,522
114/03/26,"258,320","10,348,392",40.00,40.50,39.85,39.90,-0.05,249
114/03/27,"334,487","13,244,449",40.00,40.00,39.40,39.50,-0.40,318
114/03/28,"1,004,509","38,242,093",39.40,39.40,37.25,38.20,-1.30,917
114/03/31,"915,929","32,954,589",36.70,36.75,35.25,35.40,-2.80,854
