日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/02/01,"280,571","24,175,164",85.60,86.50,85.60,86.40,+1.10,277
112/02/02,"417,698","36,396,401",86.60,87.50,86.60,87.40,+1.00,379
112/02/03,"280,957","24,595,904",87.40,87.80,86.70,87.60,+0.20,359
112/02/06,"158,980","13,911,231",87.80,87.80,87.30,87.40,-0.20,240
112/02/07,"149,989","13,124,912",87.50,87.80,87.20,87.70,+0.30,225
112/02/08,"271,848","23,903,440",87.80,88.30,87.70,88.00,+0.30,318
112/02/09,"156,165","13,740,668",87.70,88.30,87.50,87.80,-0.20,207
112/02/10,"175,312","15,362,793",87.60,88.00,87.20,87.70,-0.10,200
112/02/13,"290,839","25,215,334",87.40,87.40,86.20,87.10,-0.60,340
112/02/14,"259,518","22,450,898",87.10,87.10,86.20,86.20,-0.90,308
112/02/15,"223,294","19,129,191",86.30,86.30,85.30,85.50,-0.70,340
112/02/16,"240,208","20,566,944",85.80,85.80,85.30,85.70,+0.20,312
112/02/17,"123,038","10,531,110",85.80,85.80,85.30,85.60,-0.10,165
112/02/20,"211,047","18,280,431",85.50,86.90,85.50,86.80,+1.20,212
112/02/21,"207,866","18,184,708",87.20,87.70,87.10,87.60,+0.80,254
112/02/22,"192,835","16,800,581",87.40,87.70,86.90,87.70,+0.10,277
112/02/23,"370,327","32,600,526",87.70,88.50,87.70,88.00,+0.30,332
112/02/24,"210,320","18,466,216",88.00,88.20,87.50,87.60,-0.40,256
