日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/07/03,"29,009,596","8,387,984,158",281.00,296.00,280.00,293.00,+22.00,"23,072"
112/07/04,"19,125,980","5,581,369,680",294.00,297.50,284.00,292.00,-1.00,"17,490"
112/07/05,"15,675,411","4,438,775,094",292.00,293.50,278.00,280.50,-11.50,"15,493"
112/07/06,"13,890,078","3,823,668,998",273.50,281.50,271.00,273.50,-7.00,"11,043"
112/07/07,"18,805,348","5,155,021,615",274.50,281.50,267.50,270.00,-3.50,"15,031"
112/07/10,"11,497,776","3,161,230,814",270.00,281.50,269.00,273.00,+3.00,"9,110"
112/07/11,"14,553,750","4,112,921,900",278.00,286.50,277.50,283.50,+10.50,"11,531"
112/07/12,"21,156,598","6,138,504,917",286.00,299.00,284.00,287.50,+4.00,"17,863"
112/07/13,"30,721,376","9,222,764,272",298.00,314.50,284.50,288.00,+0.50,"26,450"
112/07/14,"18,305,798","5,357,034,313",300.50,303.00,284.00,293.50,+5.50,"19,363"
112/07/17,"13,998,203","3,990,305,022",288.50,290.00,281.00,285.00,-8.50,"11,843"
112/07/18,"17,645,893","5,121,097,137",289.50,296.50,278.00,293.00,+8.00,"19,713"
112/07/19,"10,465,271","3,057,230,128",297.00,298.00,288.00,291.50,-1.50,"12,379"
112/07/20,"20,988,539","6,434,853,955",290.50,313.00,290.00,308.50,+17.00,"22,292"
112/07/21,"28,450,394","9,251,479,346",304.00,339.00,297.00,339.00,+30.50,"25,879"
112/07/24,"24,356,983","8,452,291,842",344.00,358.50,336.00,344.00,+5.00,"19,152"
112/07/25,"24,074,666","8,528,053,034",347.00,367.50,340.00,340.50,-3.50,"19,844"
112/07/26,"13,697,256","4,726,572,641",340.50,352.00,337.50,343.50,+3.00,"11,072"
112/07/27,"21,067,463","7,423,486,371",351.00,361.50,340.00,340.00,-3.50,"16,462"
112/07/28,"17,619,014","6,052,322,939",340.00,356.00,329.50,352.00,+12.00,"15,755"
112/07/31,"27,210,101","9,338,684,939",357.00,364.00,318.00,322.00,-30.00,"20,998"
