日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/11/01,"9,639,032","1,388,729,204",144.50,146.50,142.00,144.50,+1.50,"6,730"
112/11/02,"17,285,483","2,584,728,303",147.00,151.00,147.00,151.00,+6.50,"10,465"
112/11/03,"18,386,764","2,831,680,639",152.00,156.00,151.00,155.50,+4.50,"11,692"
112/11/06,"10,811,875","1,702,050,123",157.00,159.00,155.00,158.00,+2.50,"7,747"
112/11/07,"10,586,091","1,634,841,418",156.50,157.00,153.00,153.50,-4.50,"8,373"
112/11/08,"9,345,000","1,443,651,320",153.50,156.00,153.00,154.50,+1.00,"6,425"
112/11/09,"7,868,155","1,206,852,694",154.50,155.00,152.00,154.50, 0.00,"5,390"
112/11/10,"13,158,509","1,982,092,680",152.50,152.50,149.50,151.00,-3.50,"7,852"
112/11/13,"14,349,072","2,234,171,517",153.50,157.50,153.00,156.00,+5.00,"9,206"
112/11/14,"10,822,414","1,659,903,074",155.00,156.00,152.00,153.00,-3.00,"7,170"
112/11/15,"15,819,172","2,458,892,936",156.50,157.50,154.00,154.50,+1.50,"8,920"
112/11/16,"9,759,640","1,511,229,816",156.00,157.50,153.50,155.00,+0.50,"5,240"
112/11/17,"15,207,587","2,401,319,819",156.00,159.50,155.50,159.00,+4.00,"10,388"
112/11/20,"18,008,723","2,898,787,166",159.00,163.00,158.50,160.00,+1.00,"10,868"
112/11/21,"36,285,578","6,075,541,560",163.00,169.50,162.50,168.50,+8.50,"23,389"
112/11/22,"25,515,667","4,337,074,789",167.50,172.00,165.50,171.00,+2.50,"17,552"
112/11/23,"14,616,776","2,464,211,696",171.00,171.50,167.00,168.00,-3.00,"13,217"
112/11/24,"7,930,327","1,327,688,702",168.00,169.50,166.50,167.00,-1.00,"5,729"
112/11/27,"7,345,933","1,217,046,911",168.00,168.50,164.50,164.50,-2.50,"5,924"
112/11/28,"16,163,333","2,734,210,424",166.00,171.00,164.50,170.00,+5.50,"12,257"
112/11/29,"21,887,517","3,805,541,353",171.50,175.50,170.00,175.00,+5.00,"23,166"
112/11/30,"19,955,801","3,504,076,921",176.50,177.00,173.00,177.00,+2.00,"11,410"
