日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/03/01,"6,833,063","353,058,462",50.60,52.80,50.40,51.70,+2.50,"4,417"
112/03/02,"3,459,858","181,116,510",51.90,52.80,51.90,52.30,+0.60,"2,933"
112/03/03,"7,224,516","389,860,265",53.50,54.60,52.70,54.40,+2.10,"4,927"
112/03/06,"5,630,272","309,996,204",54.80,55.90,54.20,55.10,+0.70,"3,997"
112/03/07,"8,695,670","489,945,194",55.60,57.50,55.20,56.60,+1.50,"5,843"
112/03/08,"7,361,111","422,640,926",56.60,58.00,56.50,58.00,+1.40,"4,958"
112/03/09,"8,996,856","517,183,379",58.20,59.30,56.20,57.20,-0.80,"6,546"
112/03/10,"5,427,106","310,861,385",56.70,58.00,56.40,57.40,+0.20,"4,287"
112/03/13,"4,141,713","235,359,981",57.10,57.40,56.20,56.80,-0.60,"3,495"
112/03/14,"3,274,678","186,045,755",56.80,57.10,56.40,57.00,+0.20,"2,085"
112/03/15,"3,710,978","211,727,108",57.50,57.70,56.50,56.50,-0.50,"2,618"
112/03/16,"4,142,990","234,149,891",56.30,57.20,55.90,56.60,+0.10,"2,920"
112/03/17,"2,240,126","126,397,152",57.00,57.10,56.10,56.10,-0.50,"2,662"
112/03/20,"5,232,700","293,461,622",57.00,57.00,55.20,55.30,-0.80,"3,180"
112/03/21,"5,104,367","282,244,371",55.60,55.70,54.80,55.30, 0.00,"2,743"
112/03/22,"5,634,978","314,740,171",55.80,56.50,55.50,55.50,+0.20,"3,154"
112/03/23,"5,847,719","329,269,261",55.50,57.00,55.30,56.40,+0.90,"3,315"
112/03/24,"9,290,853","529,365,220",56.90,57.50,56.50,56.80,+0.40,"4,850"
112/03/27,"6,401,591","360,078,751",57.00,57.00,55.80,56.00,-0.80,"3,359"
112/03/28,"6,461,060","359,523,927",55.60,56.40,55.40,55.60,-0.40,"3,527"
112/03/29,"12,830,906","682,046,984",52.40,53.80,52.40,53.20,X0.00,"4,471"
112/03/30,"6,722,959","364,066,686",53.50,54.80,52.70,54.70,+1.50,"4,145"
112/03/31,"5,665,662","302,849,192",54.60,54.60,52.70,53.50,-1.20,"3,725"
