日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/01/02,"651,902","174,062,528",269.50,270.00,265.00,265.00,-3.00,950
113/01/03,"612,355","161,669,188",264.00,266.00,262.00,263.50,-1.50,"1,224"
113/01/04,"1,065,884","279,468,402",263.50,264.50,261.00,261.50,-2.00,"2,216"
113/01/05,"2,429,374","651,764,382",266.50,271.00,264.50,269.00,+7.50,"2,717"
113/01/08,"992,566","266,479,557",270.00,271.00,267.50,269.00, 0.00,"3,328"
113/01/09,"1,086,346","289,191,913",270.50,271.00,264.00,265.50,-3.50,"1,378"
113/01/10,"807,285","212,793,113",267.00,267.00,262.50,263.00,-2.50,"1,235"
113/01/11,"575,856","152,125,039",265.00,266.00,262.50,265.50,+2.50,702
113/01/12,"841,754","222,890,680",266.00,266.50,263.50,264.50,-1.00,951
113/01/15,"709,968","188,164,206",266.00,266.50,263.50,266.50,+2.00,960
113/01/16,"1,066,098","281,145,742",265.50,265.50,262.50,264.50,-2.00,"1,199"
113/01/17,"1,967,008","512,070,740",264.50,264.50,257.00,258.00,-6.50,"2,069"
113/01/18,"1,075,156","276,863,243",261.50,261.50,255.00,256.50,-1.50,"1,229"
113/01/19,"976,432","256,819,582",262.00,264.50,261.00,264.50,+8.00,"1,480"
113/01/22,"905,637","242,146,095",265.50,269.50,265.50,267.50,+3.00,"1,159"
113/01/23,"447,403","119,321,901",269.00,269.00,266.00,266.50,-1.00,934
113/01/24,"3,461,798","940,444,729",266.00,274.00,266.00,271.00,+4.50,"3,266"
113/01/25,"1,007,983","272,708,456",270.50,272.00,269.50,270.00,-1.00,"2,055"
113/01/26,"926,907","251,733,475",270.50,273.00,270.00,270.50,+0.50,"1,283"
113/01/29,"969,347","263,228,368",272.00,272.00,270.50,272.00,+1.50,"2,043"
113/01/30,"787,478","214,833,777",273.00,274.50,271.50,272.00, 0.00,"1,018"
113/01/31,"571,317","153,912,909",271.50,272.00,268.00,269.50,-2.50,"1,223"
