日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/12/01,"1,557,553","114,954,268",74.10,74.40,73.10,74.20,-0.10,"1,154"
110/12/02,"2,584,133","189,660,800",73.90,74.00,73.00,73.20,-1.00,"1,808"
110/12/03,"1,721,696","125,982,472",73.50,73.70,73.00,73.20, 0.00,"1,244"
110/12/06,"1,640,097","119,408,290",73.00,73.30,72.30,72.90,-0.30,"1,353"
110/12/07,"1,683,878","123,447,945",72.90,74.00,72.80,72.90, 0.00,"1,548"
110/12/08,"1,053,720","77,323,438",73.70,73.70,73.10,73.70,+0.80,885
110/12/09,"4,424,682","332,673,747",74.80,76.20,74.20,74.80,+1.10,"3,019"
110/12/10,"1,291,139","96,316,652",74.80,75.00,74.20,75.00,+0.20,"1,074"
110/12/13,"1,571,717","118,376,916",75.50,75.70,74.50,75.40,+0.40,"1,178"
110/12/14,"6,532,188","499,705,480",75.80,77.30,75.80,76.20,+0.80,"5,126"
110/12/15,"10,446,325","813,653,426",76.90,78.60,76.50,78.00,+1.80,"7,853"
110/12/16,"5,209,231","405,967,410",78.60,79.00,77.10,77.30,-0.70,"4,738"
110/12/17,"3,256,405","247,182,339",77.10,77.20,75.10,75.50,-1.80,"2,543"
110/12/20,"2,287,453","171,096,574",75.00,75.40,74.30,74.80,-0.70,"1,496"
110/12/21,"1,588,460","118,981,100",75.30,75.60,74.40,75.10,+0.30,"1,208"
110/12/22,"753,507","56,701,983",75.10,75.50,75.00,75.10, 0.00,670
110/12/23,"1,384,558","103,925,591",75.30,75.50,74.60,75.30,+0.20,"1,082"
110/12/24,"1,451,819","109,781,062",75.60,75.80,75.30,75.70,+0.40,915
110/12/27,"6,209,223","480,869,470",76.00,78.30,75.90,77.70,+2.00,"4,426"
110/12/28,"5,532,721","428,054,941",78.10,78.30,76.70,76.80,-0.90,"4,513"
110/12/29,"1,877,158","144,292,653",76.90,77.40,76.50,77.30,+0.50,"1,403"
110/12/30,"3,449,921","268,649,188",77.20,78.20,77.20,78.00,+0.70,"2,373"
