日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/02/01,"6,805,194","564,088,682",82.30,84.10,81.70,83.50,+1.90,"5,200"
112/02/02,"6,747,186","569,816,557",83.80,85.50,83.00,85.50,+2.00,"4,828"
112/02/03,"4,803,286","410,006,034",85.30,85.90,84.50,85.30,-0.20,"3,237"
112/02/06,"2,283,070","195,016,676",85.00,85.80,84.80,85.50,+0.20,"1,900"
112/02/07,"4,142,255","355,633,458",85.50,86.40,85.30,86.00,+0.50,"2,790"
112/02/08,"2,945,185","254,020,685",86.70,86.70,85.60,85.70,-0.30,"1,993"
112/02/09,"2,541,080","216,655,991",86.00,86.00,84.80,85.20,-0.50,"1,956"
112/02/10,"4,860,404","406,445,915",85.10,85.20,82.80,83.30,-1.90,"3,367"
112/02/13,"4,563,317","390,229,536",83.50,86.40,83.30,86.20,+2.90,"3,602"
112/02/14,"6,096,661","529,285,370",86.60,87.60,85.70,86.70,+0.50,"4,122"
112/02/15,"4,838,269","418,561,286",87.00,87.60,85.60,86.30,-0.40,"3,441"
112/02/16,"4,773,836","417,816,177",87.50,88.10,86.90,87.60,+1.30,"3,436"
112/02/17,"2,477,078","216,757,453",86.90,87.90,86.80,87.60, 0.00,"2,079"
112/02/20,"5,034,348","436,960,794",87.70,88.10,86.30,86.30,-1.30,"3,711"
112/02/21,"6,120,299","521,793,434",86.30,86.60,84.80,85.20,-1.10,"4,427"
112/02/22,"4,499,008","378,433,724",84.50,84.80,83.60,84.20,-1.00,"3,514"
112/02/23,"4,393,221","369,525,677",84.40,84.60,83.70,84.30,+0.10,"3,325"
112/02/24,"4,347,262","368,674,135",84.90,85.80,84.10,84.40,+0.10,"3,419"
