日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/04/06,"1,654,529","446,370,274",269.50,270.50,268.50,270.50,-2.00,"1,906"
112/04/07,"594,146","160,899,833",271.50,272.00,270.00,270.00,-0.50,"1,078"
112/04/10,"566,275","153,311,674",271.50,272.00,270.00,271.00,+1.00,879
112/04/11,"1,368,692","373,748,636",271.00,274.50,270.50,273.50,+2.50,"1,727"
112/04/12,"2,023,537","563,840,789",276.00,280.00,275.50,278.50,+5.00,"3,495"
112/04/13,"1,732,672","479,885,551",279.50,280.00,275.50,275.50,-3.00,"7,938"
112/04/14,"1,079,566","299,216,137",278.50,278.50,275.50,277.50,+2.00,"2,199"
112/04/17,"1,618,142","452,814,062",278.50,281.00,278.00,281.00,+3.50,"1,960"
112/04/18,"1,179,437","328,344,204",281.50,282.00,277.00,278.50,-2.50,"1,763"
112/04/19,"1,556,558","435,277,548",279.00,281.00,278.00,278.50, 0.00,"1,767"
112/04/20,"1,087,598","301,432,891",279.50,279.50,275.50,276.50,-2.00,"3,754"
112/04/21,"1,983,548","549,087,745",279.00,280.50,275.00,276.00,-0.50,"3,651"
112/04/24,"2,070,703","575,202,070",278.00,279.00,276.00,278.50,+2.50,"2,366"
112/04/25,"2,399,371","665,569,238",280.00,280.00,276.00,278.00,-0.50,"3,219"
112/04/26,"2,535,206","696,687,558",275.50,277.00,272.00,275.50,-2.50,"7,719"
112/04/27,"2,559,644","713,115,828",275.50,280.00,274.50,280.00,+4.50,"2,676"
112/04/28,"1,842,487","518,484,438",282.00,282.50,279.00,282.50,+2.50,"1,813"
