日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/11/01,"9,213,079","6,112,379,018",645.00,677.00,639.00,676.00,+27.00,"8,586"
111/11/02,"7,115,353","4,793,957,452",677.00,685.00,662.00,678.00,+2.00,"6,653"
111/11/03,"8,999,573","6,199,181,885",665.00,709.00,662.00,701.00,+23.00,"8,338"
111/11/04,"8,122,316","5,809,991,107",695.00,725.00,695.00,725.00,+24.00,"7,870"
111/11/07,"10,380,845","7,979,627,097",750.00,797.00,736.00,797.00,+72.00,"9,884"
111/11/08,"11,922,094","9,483,367,769",801.00,825.00,765.00,778.00,-19.00,"11,661"
111/11/09,"7,414,070","5,837,079,113",789.00,801.00,770.00,790.00,+12.00,"7,196"
111/11/10,"6,572,273","5,253,281,642",784.00,817.00,783.00,800.00,+10.00,"6,502"
111/11/11,"9,890,859","8,352,377,108",855.00,868.00,823.00,823.00,+23.00,"10,457"
111/11/14,"5,163,451","4,301,920,987",829.00,843.00,823.00,830.00,+7.00,"4,983"
111/11/15,"7,069,844","5,920,330,642",837.00,855.00,815.00,843.00,+13.00,"7,615"
111/11/16,"6,898,488","5,901,138,848",848.00,867.00,840.00,860.00,+17.00,"6,885"
111/11/17,"5,358,533","4,679,909,305",865.00,883.00,861.00,882.00,+22.00,"5,618"
111/11/18,"6,199,010","5,464,775,227",886.00,895.00,863.00,875.00,-7.00,"6,061"
111/11/21,"4,738,823","4,237,477,432",885.00,910.00,882.00,890.00,+15.00,"4,821"
111/11/22,"6,747,955","5,902,671,273",903.00,906.00,858.00,862.00,-28.00,"10,867"
111/11/23,"5,612,122","4,956,305,926",879.00,894.00,873.00,879.00,+17.00,"5,307"
111/11/24,"6,362,154","5,780,814,606",890.00,925.00,882.00,916.00,+37.00,"6,658"
111/11/25,"4,871,107","4,352,688,552",916.00,918.00,875.00,883.00,-33.00,"7,186"
111/11/28,"3,673,119","3,280,740,929",877.00,906.00,875.00,890.00,+7.00,"3,517"
111/11/29,"3,668,523","3,271,678,259",893.00,905.00,870.00,902.00,+12.00,"3,581"
111/11/30,"5,683,009","5,266,802,189",908.00,943.00,906.00,927.00,+25.00,"5,800"
