日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/01/03,"619,966","621,595,197","1,025.00","1,030.00",993.00,999.00,-21.00,749
111/01/04,"1,356,826","1,335,028,979","1,000.00","1,010.00",970.00,979.00,-20.00,"1,814"
111/01/05,"2,298,420","2,250,588,379",980.00,997.00,950.00,982.00,+3.00,"2,696"
111/01/06,"1,976,312","1,894,517,692",963.00,984.00,941.00,944.00,-38.00,"2,499"
111/01/07,"1,484,868","1,408,166,734",950.00,972.00,931.00,931.00,-13.00,"1,852"
111/01/10,"1,254,345","1,186,685,059",925.00,965.00,916.00,965.00,+34.00,"1,394"
111/01/11,"2,458,220","2,266,631,819",950.00,956.00,898.00,898.00,-67.00,"3,378"
111/01/12,"2,053,498","1,921,929,097",936.00,947.00,923.00,925.00,+27.00,"2,168"
111/01/13,"993,155","919,876,612",927.00,935.00,917.00,930.00,+5.00,"1,490"
111/01/14,"1,434,192","1,310,250,148",923.00,933.00,902.00,916.00,-14.00,"1,654"
111/01/17,"1,304,299","1,216,135,325",917.00,945.00,911.00,943.00,+27.00,"1,445"
111/01/18,"2,634,565","2,570,673,238",948.00,"1,005.00",936.00,968.00,+25.00,"2,998"
111/01/19,"2,151,569","2,028,608,636",951.00,964.00,928.00,928.00,-40.00,"3,681"
111/01/20,"2,080,786","1,974,298,103",934.00,976.00,923.00,976.00,+48.00,"2,177"
111/01/21,"2,069,751","1,953,850,766",952.00,966.00,921.00,921.00,-55.00,"2,299"
111/01/24,"1,729,973","1,579,090,847",922.00,930.00,892.00,911.00,-10.00,"1,864"
111/01/25,"1,545,471","1,413,975,314",911.00,933.00,899.00,899.00,-12.00,"1,834"
111/01/26,"2,011,328","1,862,212,008",908.00,944.00,902.00,935.00,+36.00,"2,109"
