日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/03/03,"2,030,709","328,871,459",162.00,163.00,161.00,161.00,-1.50,"1,556"
114/03/04,"2,711,880","437,990,302",161.00,163.50,158.50,161.50,+0.50,"1,971"
114/03/05,"1,609,685","261,732,811",162.00,164.00,161.50,162.00,+0.50,"1,386"
114/03/06,"12,872,861","2,218,382,803",168.50,177.00,167.50,172.00,+10.00,"11,579"
114/03/07,"5,563,910","943,332,021",170.00,173.00,168.00,168.50,-3.50,"15,772"
114/03/10,"5,697,870","971,700,127",169.00,172.50,167.00,170.00,+1.50,"11,856"
114/03/11,"5,499,948","929,222,178",168.50,171.00,168.00,168.00,-2.00,"4,840"
114/03/12,"9,295,970","1,615,648,599",168.50,176.50,167.00,176.00,+8.00,"6,392"
114/03/13,"7,516,292","1,316,755,220",176.50,177.50,172.50,174.00,-2.00,"7,423"
114/03/14,"3,446,830","588,721,072",175.50,175.50,169.00,169.00,-5.00,"4,347"
114/03/17,"3,604,766","616,567,568",170.00,173.50,168.50,170.50,+1.50,"4,209"
114/03/18,"5,350,654","934,597,714",173.00,176.00,170.50,176.00,+5.50,"4,863"
114/03/19,"4,738,773","819,046,733",176.00,176.50,171.00,171.00,-5.00,"4,615"
114/03/20,"1,826,329","315,173,092",172.50,174.00,171.50,173.00,+2.00,"2,515"
114/03/21,"6,428,192","1,107,655,032",173.50,174.50,171.00,172.00,-1.00,"2,527"
114/03/24,"6,053,402","1,023,128,645",172.50,173.00,166.50,167.00,-5.00,"4,732"
114/03/25,"3,822,926","641,571,730",169.00,169.50,166.00,168.50,+1.50,"3,102"
114/03/26,"3,727,922","640,522,285",167.50,173.00,167.50,173.00,+4.50,"2,926"
114/03/27,"3,079,434","533,217,148",171.00,174.00,170.50,174.00,+1.00,"2,176"
114/03/28,"3,696,981","639,497,821",173.50,174.50,172.00,172.00,-2.00,"2,760"
114/03/31,"4,680,696","795,765,701",168.50,172.50,168.00,168.00,-4.00,"3,329"
