日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/10/02,"1,745,994","202,978,118",116.00,117.00,115.00,117.00,+1.50,"1,632"
112/10/03,"1,486,658","171,802,334",116.00,116.50,115.00,115.00,-2.00,"1,328"
112/10/04,"2,678,887","309,238,900",114.00,117.00,113.50,116.50,+1.50,"1,850"
112/10/05,"1,281,470","149,133,874",117.00,117.50,115.50,116.00,-0.50,"1,102"
112/10/06,"1,957,977","229,426,667",116.50,118.00,116.50,117.00,+1.00,"1,487"
112/10/11,"4,474,451","537,080,052",119.00,122.50,117.50,121.50,+4.50,"3,044"
112/10/12,"1,342,953","163,584,983",121.50,122.50,120.50,122.00,+0.50,"1,243"
112/10/13,"3,080,652","381,035,292",121.00,126.00,120.50,123.00,+1.00,"2,216"
112/10/16,"2,691,285","330,067,868",123.00,124.00,121.00,123.00, 0.00,"2,109"
112/10/17,"2,619,508","323,406,421",123.50,125.00,121.50,122.50,-0.50,"1,528"
112/10/18,"2,872,093","353,240,766",123.00,124.50,121.50,122.50, 0.00,"1,557"
112/10/19,"2,833,188","342,736,060",122.00,122.50,118.50,122.50, 0.00,"1,947"
112/10/20,"3,898,109","465,643,216",120.00,120.50,117.50,120.00,-2.50,"2,277"
112/10/23,"3,129,984","385,390,514",119.50,124.00,119.50,124.00,+4.00,"2,110"
112/10/24,"3,140,569","395,679,191",124.50,127.50,124.50,127.00,+3.00,"2,427"
112/10/25,"2,129,341","267,749,260",127.50,127.50,124.50,124.50,-2.50,"1,699"
112/10/26,"2,480,025","309,150,070",123.50,126.00,122.50,124.50, 0.00,"1,781"
112/10/27,"1,556,804","193,650,886",125.00,126.00,123.50,124.00,-0.50,"1,103"
112/10/30,"989,077","122,768,122",125.00,125.00,123.00,124.00, 0.00,917
112/10/31,"2,120,329","263,945,876",123.50,125.50,123.00,124.50,+0.50,"1,461"
