日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/03/03,"2,752,990","345,337,295",126.50,127.00,124.50,125.00,-3.00,"2,654"
114/03/04,"2,884,656","362,344,765",123.00,127.00,122.50,126.00,+1.00,"2,019"
114/03/05,"2,366,564","301,082,470",126.50,128.00,125.00,127.00,+1.00,"1,991"
114/03/06,"3,498,779","447,585,176",127.50,129.50,127.00,127.00, 0.00,"3,115"
114/03/07,"2,781,877","353,902,738",126.50,129.00,126.00,127.00, 0.00,"2,547"
114/03/10,"2,257,192","284,292,401",127.00,127.50,124.50,124.50,-2.50,"2,212"
114/03/11,"4,598,918","568,896,889",122.50,125.50,121.50,123.50,-1.00,"3,188"
114/03/12,"3,245,455","411,350,028",125.50,128.00,124.50,126.00,+2.50,"2,460"
114/03/13,"2,992,305","374,879,510",127.00,128.00,123.00,123.00,-3.00,"3,153"
114/03/14,"2,226,432","275,182,811",124.00,125.00,122.50,122.50,-0.50,"1,935"
114/03/17,"18,660,554","2,481,663,668",128.00,134.50,126.00,131.00,+8.50,"12,260"
114/03/18,"14,752,403","1,932,965,944",133.50,134.00,129.00,129.00,-2.00,"11,229"
114/03/19,"5,767,119","746,492,175",128.50,131.50,128.00,128.50,-0.50,"3,933"
114/03/20,"17,954,642","2,448,904,779",130.00,140.00,129.50,137.00,+8.50,"12,466"
114/03/21,"15,723,831","2,151,047,175",137.50,140.00,135.00,135.00,-2.00,"14,387"
114/03/24,"5,795,498","775,384,584",135.50,136.00,132.00,132.50,-2.50,"5,173"
114/03/25,"3,937,193","520,446,912",134.00,134.00,131.00,132.50, 0.00,"3,728"
114/03/26,"4,026,229","530,107,990",132.50,134.00,130.50,132.00,-0.50,"4,651"
114/03/27,"3,430,187","447,408,562",130.50,131.50,130.00,130.00,-2.00,"3,543"
114/03/28,"6,146,734","800,211,615",130.00,132.00,129.00,129.00,-1.00,"3,658"
114/03/31,"8,622,929","1,070,904,766",125.00,127.00,122.00,122.00,-7.00,"5,309"
