日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/04/01,"2,963,476","829,658,129",275.00,285.00,275.00,275.50,-0.50,"2,355"
110/04/06,"2,129,539","591,004,844",279.00,279.50,273.00,276.00,+0.50,"1,413"
110/04/07,"1,627,326","454,465,799",279.00,280.50,276.50,279.50,+3.50,"1,510"
110/04/08,"2,121,832","592,114,091",275.00,283.00,275.00,277.00,-2.50,"1,633"
110/04/09,"1,301,390","364,393,769",279.00,283.00,278.00,279.50,+2.50,"1,182"
110/04/12,"2,203,575","600,304,210",279.00,280.50,270.00,270.50,-9.00,"1,858"
110/04/13,"1,595,598","432,039,506",271.50,274.50,266.00,266.00,-4.50,"1,399"
110/04/14,"1,586,607","422,873,288",267.00,269.50,264.50,266.00, 0.00,"1,189"
110/04/15,"1,129,204","300,896,865",269.00,269.50,265.00,267.50,+1.50,874
110/04/16,"1,958,400","536,802,146",267.50,278.00,267.50,275.50,+8.00,"1,544"
110/04/19,"2,581,785","710,090,550",273.50,278.50,272.00,273.50,-2.00,"1,118"
110/04/20,"942,638","258,993,502",273.00,276.00,272.50,276.00,+2.50,797
110/04/21,"1,375,448","374,509,362",273.50,276.00,270.50,271.00,-5.00,"1,226"
110/04/22,"2,506,638","695,668,493",274.50,284.00,274.00,275.00,+4.00,"2,164"
110/04/23,"5,142,286","1,474,241,888",278.00,291.50,276.00,291.50,+16.50,"4,523"
110/04/26,"6,664,505","1,961,091,968",290.00,299.50,286.00,296.00,+4.50,"4,420"
110/04/27,"4,164,191","1,231,832,620",295.50,299.50,291.00,296.00, 0.00,"2,083"
110/04/28,"3,861,142","1,165,885,978",297.00,306.00,295.00,303.50,+7.50,"3,498"
110/04/29,"4,861,374","1,523,754,237",306.00,320.00,304.00,318.00,+14.50,"4,302"
