日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/04/01,"5,838,874","1,329,273,258",221.00,231.00,218.00,230.00,+7.50,"7,188"
111/04/06,"6,048,067","1,424,982,298",230.00,239.00,229.00,238.50,+8.50,"6,666"
111/04/07,"3,800,002","883,125,737",236.00,238.00,229.50,231.00,-7.50,"4,716"
111/04/08,"3,281,764","745,875,769",230.00,233.00,223.50,226.00,-5.00,"4,948"
111/04/11,"4,287,285","940,603,100",230.00,233.00,216.50,216.50,-9.50,"10,701"
111/04/12,"3,575,831","772,041,753",214.00,221.50,211.50,215.00,-1.50,"4,485"
111/04/13,"1,863,288","411,447,213",219.50,224.00,216.50,222.00,+7.00,"5,152"
111/04/14,"1,603,744","361,217,456",220.50,227.50,219.50,226.00,+4.00,"2,544"
111/04/15,"1,478,569","333,363,085",226.50,228.00,222.50,224.00,-2.00,"2,056"
111/04/18,"901,125","198,506,879",220.00,224.00,218.00,219.00,-5.00,"3,974"
111/04/19,"1,509,858","338,465,602",219.50,227.50,219.50,221.50,+2.50,"2,406"
111/04/20,"1,681,664","376,453,991",221.50,226.00,221.50,223.00,+1.50,"1,898"
111/04/21,"1,077,504","244,589,261",225.00,230.00,225.00,225.50,+2.50,"2,714"
111/04/22,"1,330,006","295,138,793",220.50,225.00,219.00,221.50,-4.00,"2,882"
111/04/25,"1,682,282","356,845,621",217.00,218.50,209.50,211.00,-10.50,"6,296"
111/04/26,"2,268,587","498,902,070",214.50,224.00,214.00,221.00,+10.00,"3,549"
111/04/27,"2,739,781","589,032,846",210.50,218.50,210.50,215.50,-5.50,"6,278"
111/04/28,"1,519,718","333,297,021",217.00,222.50,217.00,219.50,+4.00,"3,832"
111/04/29,"5,540,965","1,283,285,165",224.50,238.00,223.00,233.00,+13.50,"6,048"
