日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/12/01,"6,481,722","2,133,508,204",323.00,334.50,321.50,333.00,+16.00,"5,749"
111/12/02,"5,392,152","1,760,610,984",324.50,331.00,323.00,326.00,-7.00,"8,505"
111/12/05,"5,457,026","1,772,247,664",324.00,328.50,321.00,322.50,-3.50,"4,749"
111/12/06,"7,921,014","2,467,129,018",318.00,320.00,304.00,305.50,-17.00,"8,230"
111/12/07,"4,954,719","1,493,223,003",305.50,307.50,297.00,297.50,-8.00,"5,058"
111/12/08,"3,712,580","1,089,314,425",293.50,297.00,291.00,292.50,-5.00,"4,114"
111/12/09,"3,622,045","1,082,257,132",297.00,302.00,295.50,299.50,+7.00,"3,418"
111/12/12,"2,812,095","837,381,878",296.00,301.00,293.00,299.50, 0.00,"2,509"
111/12/13,"3,643,419","1,071,914,969",295.50,297.00,292.00,292.50,-7.00,"3,687"
111/12/14,"4,180,353","1,243,107,541",293.00,301.50,291.00,301.50,+9.00,"3,523"
111/12/15,"3,356,546","1,014,792,685",298.50,306.50,298.50,302.00,+0.50,"2,961"
111/12/16,"6,881,645","2,024,046,728",295.00,297.00,293.00,293.00,-9.00,"4,010"
111/12/19,"5,577,840","1,639,275,279",291.50,296.00,289.00,294.00,+1.00,"2,903"
111/12/20,"5,870,086","1,700,723,102",291.50,297.50,286.50,286.50,-7.50,"3,627"
111/12/21,"5,141,516","1,472,207,472",288.00,290.50,284.50,285.50,-1.00,"2,774"
111/12/22,"4,736,051","1,376,909,216",291.00,296.00,289.00,290.50,+5.00,"2,146"
111/12/23,"1,351,501","388,879,041",286.50,290.50,284.50,289.00,-1.50,"1,348"
111/12/26,"1,419,765","406,327,464",291.00,291.00,283.00,286.50,-2.50,"1,618"
111/12/27,"1,904,304","558,975,122",289.00,296.50,288.50,293.00,+6.50,"2,055"
111/12/28,"2,753,365","783,384,018",290.50,290.50,282.50,283.00,-10.00,"3,158"
111/12/29,"1,151,240","324,956,930",279.50,285.00,279.00,282.50,-0.50,"1,234"
111/12/30,"1,457,623","414,182,921",288.00,288.00,281.00,281.00,-1.50,"1,500"
