日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/05/03,"416,769","40,208,255",95.70,96.80,95.70,96.80,+0.40,396
111/05/04,"498,328","48,656,468",97.50,98.00,97.20,97.70,+0.90,530
111/05/05,"618,919","61,412,022",98.70,99.60,98.70,99.30,+1.60,695
111/05/06,"452,535","44,211,136",97.00,98.30,96.70,98.10,-1.20,"1,130"
111/05/09,"868,591","83,124,042",97.10,97.20,94.70,94.80,-3.30,958
111/05/10,"690,746","65,123,464",93.00,96.00,92.70,95.70,+0.90,691
111/05/11,"505,513","48,185,792",95.70,96.10,94.70,95.00,-0.70,858
111/05/12,"545,498","51,437,060",94.10,95.20,93.60,93.60,-1.40,768
111/05/13,"460,095","43,533,833",94.20,95.00,94.00,94.90,+1.30,741
111/05/16,"434,086","41,476,157",95.90,96.40,94.80,94.90, 0.00,713
111/05/17,"597,164","57,493,762",95.50,96.90,95.40,96.90,+2.00,609
111/05/18,"531,178","51,811,937",97.60,98.00,97.10,97.50,+0.60,970
111/05/19,"483,151","46,451,175",95.80,97.20,95.60,97.00,-0.50,608
111/05/20,"447,830","43,720,842",97.10,98.30,96.90,97.80,+0.80,440
111/05/23,"335,576","32,840,347",98.80,98.80,97.30,97.70,-0.10,909
111/05/24,"579,368","55,742,995",97.50,97.50,95.20,95.20,-2.50,814
111/05/25,"550,738","52,633,120",95.90,96.10,95.00,95.30,+0.10,722
111/05/26,"706,282","66,949,903",96.00,96.30,93.80,93.90,-1.40,874
111/05/27,"650,946","61,496,144",94.70,95.10,94.10,94.50,+0.60,677
111/05/30,"1,978,680","192,638,851",95.60,98.40,95.50,98.10,+3.60,"1,894"
111/05/31,"2,324,796","231,002,116",97.70,101.00,97.50,101.00,+2.90,"2,314"
