日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/10/01,"13,637,619","3,658,603,508",268.50,271.50,266.00,268.00,+4.00,"13,618"
113/10/04,"29,276,096","7,777,162,332",265.50,272.50,261.50,262.00,-6.00,"27,466"
113/10/07,"19,612,183","5,248,341,681",267.50,271.00,265.00,267.50,+5.50,"15,456"
113/10/08,"15,399,298","4,069,243,858",264.50,265.50,262.50,265.50,-2.00,"11,280"
113/10/09,"34,116,165","9,380,568,979",272.50,279.00,271.50,273.50,+8.00,"26,388"
113/10/11,"38,882,938","10,943,539,590",277.00,284.00,276.00,282.00,+8.50,"46,843"
113/10/14,"17,240,099","4,871,910,613",282.50,285.00,278.50,283.50,+1.50,"35,572"
113/10/15,"49,926,934","14,682,457,378",289.00,297.50,287.00,295.50,+12.00,"52,772"
113/10/16,"30,224,204","8,876,612,493",290.00,298.00,288.00,295.00,-0.50,"55,515"
113/10/17,"26,622,191","7,970,880,368",300.00,303.00,295.00,300.50,+5.50,"27,163"
113/10/18,"57,479,547","17,829,337,666",310.50,316.00,302.50,307.00,+6.50,"70,432"
113/10/21,"21,136,809","6,565,010,092",311.00,313.00,309.00,309.00,+2.00,"24,344"
113/10/22,"44,547,126","14,143,656,095",312.00,322.50,310.00,319.00,+10.00,"35,167"
113/10/23,"21,766,947","6,902,704,884",318.50,319.00,315.00,317.00,-2.00,"40,435"
113/10/24,"39,743,164","12,223,841,750",315.00,315.00,303.50,305.00,-12.00,"92,688"
113/10/25,"16,081,544","4,971,419,199",306.50,312.50,306.00,310.00,+5.00,"17,386"
113/10/28,"19,096,682","5,931,376,264",313.00,314.00,306.00,310.00, 0.00,"18,399"
113/10/29,"23,545,009","7,125,320,197",308.00,308.00,299.50,303.00,-7.00,"38,631"
113/10/30,"16,585,308","5,058,173,850",304.00,308.50,303.00,303.50,+0.50,"15,851"
