日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/01/03,"334,824","367,552,775","1,115.00","1,125.00","1,080.00","1,090.00",-25.00,436
111/01/04,"597,505","670,308,576","1,120.00","1,135.00","1,100.00","1,135.00",+45.00,704
111/01/05,"550,341","609,912,225","1,115.00","1,125.00","1,095.00","1,115.00",-20.00,628
111/01/06,"846,981","895,173,655","1,090.00","1,095.00","1,035.00","1,040.00",-75.00,"1,318"
111/01/07,"923,990","974,608,691","1,055.00","1,070.00","1,030.00","1,065.00",+25.00,813
111/01/10,"813,717","886,363,705","1,075.00","1,110.00","1,065.00","1,110.00",+45.00,858
111/01/11,"1,086,768","1,197,575,825","1,095.00","1,120.00","1,070.00","1,120.00",+10.00,"1,112"
111/01/12,"526,358","579,314,775","1,120.00","1,120.00","1,085.00","1,100.00",-20.00,595
111/01/13,"413,933","449,296,750","1,120.00","1,120.00","1,065.00","1,085.00",-15.00,489
111/01/14,"668,666","705,253,445","1,070.00","1,075.00","1,040.00","1,060.00",-25.00,734
111/01/17,"623,624","667,568,090","1,065.00","1,090.00","1,055.00","1,075.00",+15.00,702
111/01/18,"397,967","432,771,325","1,075.00","1,100.00","1,070.00","1,085.00",+10.00,468
111/01/19,"999,999","1,075,495,330","1,060.00","1,095.00","1,035.00","1,085.00", 0.00,997
111/01/20,"1,383,794","1,429,889,221","1,085.00","1,090.00","1,005.00","1,010.00",-75.00,"1,682"
111/01/21,"821,366","838,392,295","1,010.00","1,030.00","1,005.00","1,015.00",+5.00,872
111/01/24,"546,228","548,731,033","1,005.00","1,020.00",985.00,"1,020.00",+5.00,677
111/01/25,"672,964","665,857,787","1,005.00","1,010.00",983.00,985.00,-35.00,"1,016"
111/01/26,"357,896","358,518,975",995.00,"1,010.00",992.00,996.00,+11.00,518
