日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/05/02,"310,926","20,174,184",64.20,65.20,64.20,65.00,+0.70,263
112/05/03,"1,664,501","104,454,212",63.50,63.90,61.60,62.80,-2.20,"1,324"
112/05/04,"353,242","22,119,485",62.80,62.90,62.30,62.60,-0.20,347
112/05/05,"293,400","18,394,082",62.70,62.90,62.50,62.70,+0.10,284
112/05/08,"269,657","17,030,642",63.30,63.30,62.90,63.20,+0.50,257
112/05/09,"293,683","18,458,403",63.20,63.20,62.70,62.80,-0.40,342
112/05/10,"149,792","9,426,608",62.60,63.10,62.60,62.90,+0.10,146
112/05/11,"204,593","12,837,480",62.90,63.00,62.60,62.70,-0.20,198
112/05/12,"198,780","12,476,340",62.70,63.10,62.60,63.00,+0.30,168
112/05/15,"594,302","37,496,261",63.00,63.50,62.90,63.10,+0.10,195
112/05/16,"299,190","18,949,355",63.20,63.50,63.10,63.30,+0.20,234
112/05/17,"490,240","31,168,499",63.30,63.90,63.20,63.70,+0.40,380
112/05/18,"387,203","24,600,458",63.40,63.80,63.30,63.40,-0.30,251
112/05/19,"192,979","12,257,562",63.40,63.80,63.30,63.60,+0.20,163
112/05/22,"325,996","20,822,615",63.60,64.20,63.40,64.10,+0.50,243
112/05/23,"198,908","12,766,885",64.30,64.30,64.00,64.20,+0.10,171
112/05/24,"165,770","10,639,519",64.00,64.30,64.00,64.20, 0.00,166
112/05/25,"374,098","23,860,179",64.00,64.20,63.60,63.60,-0.60,331
112/05/26,"317,660","20,221,312",63.70,63.80,63.60,63.60, 0.00,238
112/05/29,"264,665","16,955,370",63.60,64.30,63.60,64.10,+0.50,210
112/05/30,"226,029","14,461,914",64.20,64.30,63.90,63.90,-0.20,186
112/05/31,"380,855","24,429,401",63.90,64.30,63.80,64.30,+0.40,322
