日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/12/02,"1,583,631","203,990,045",130.50,131.50,126.50,127.50,-2.50,"1,443"
113/12/03,"2,016,263","255,234,878",128.00,129.00,124.00,125.50,-2.00,"2,053"
113/12/04,"1,248,909","158,847,223",128.00,129.50,125.00,127.50,+2.00,"1,079"
113/12/05,"1,013,602","129,554,172",128.00,130.00,126.50,128.50,+1.00,"1,504"
113/12/06,"1,383,284","175,832,606",129.00,129.50,125.50,127.00,-1.50,"1,216"
113/12/09,"2,538,701","314,287,740",130.00,130.50,121.00,123.50,-3.50,"2,308"
113/12/10,"1,086,192","132,910,349",124.00,124.00,121.00,123.50, 0.00,988
113/12/11,"1,177,728","145,248,063",122.50,125.00,121.50,124.50,+1.00,793
113/12/12,"784,468","98,183,416",125.00,126.50,123.50,124.50, 0.00,939
113/12/13,"1,040,846","126,322,630",124.50,124.50,120.00,121.00,-3.50,"1,355"
113/12/16,"1,391,387","165,972,473",122.00,122.00,117.50,119.00,-2.00,"1,156"
113/12/17,"1,379,021","169,469,783",120.00,125.50,118.50,124.50,+5.50,"1,186"
113/12/18,"536,135","66,425,714",124.50,125.50,122.50,125.50,+1.00,671
113/12/19,"545,914","67,170,875",122.00,125.00,122.00,123.00,-2.50,494
113/12/20,"750,187","91,909,851",123.50,125.00,121.00,121.00,-2.00,668
113/12/23,"678,187","83,369,511",122.50,124.00,122.00,123.50,+2.50,511
113/12/24,"1,686,996","214,109,949",125.00,129.50,123.00,127.00,+3.50,"1,426"
113/12/25,"1,195,379","151,861,501",128.50,129.50,125.50,125.50,-1.50,"1,029"
113/12/26,"578,699","72,272,951",126.50,126.50,124.00,124.00,-1.50,872
113/12/27,"407,698","50,268,102",124.50,124.50,122.50,122.50,-1.50,368
113/12/30,"338,741","41,511,415",123.00,123.00,122.00,122.50, 0.00,281
113/12/31,"595,355","72,107,075",122.50,122.50,119.50,122.00,-0.50,540
