日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/06/01,"3,000,199","488,514,170",164.00,165.00,162.00,162.50,-1.50,"1,821"
110/06/02,"1,851,913","297,223,786",162.00,164.00,158.00,160.00,-2.50,"1,359"
110/06/03,"1,301,445","207,434,946",160.50,161.00,158.50,159.50,-0.50,"1,004"
110/06/04,"1,289,887","205,738,070",158.50,161.00,158.00,159.50, 0.00,918
110/06/07,"4,155,641","668,342,632",163.00,163.50,157.00,162.50,+3.00,"2,502"
110/06/08,"5,938,111","992,745,290",162.50,171.00,162.00,168.50,+6.00,"3,822"
110/06/09,"10,952,424","1,936,788,538",168.50,182.00,168.00,179.00,+10.50,"7,895"
110/06/10,"29,374,849","5,677,646,646",183.50,196.50,182.00,196.50,+17.50,"13,651"
110/06/11,"34,600,906","6,973,942,456",196.00,209.00,192.50,202.00,+5.50,"22,587"
110/06/15,"18,446,022","3,874,406,697",207.50,216.50,205.50,207.50,+5.50,"13,584"
110/06/16,"10,022,774","2,095,039,139",207.00,213.50,203.50,210.00,+2.50,"6,476"
110/06/17,"9,326,543","1,975,488,007",210.50,216.00,208.50,214.00,+4.00,"6,371"
110/06/18,"6,417,471","1,353,650,705",212.50,213.50,207.50,212.00,-2.00,"3,579"
110/06/21,"4,445,448","936,798,908",210.50,213.50,207.00,213.50,+1.50,"3,178"
110/06/22,"12,493,158","2,619,995,094",217.00,224.00,201.50,204.50,-9.00,"8,457"
110/06/23,"8,655,966","1,835,392,693",207.50,216.50,205.00,213.50,+9.00,"5,990"
110/06/24,"5,096,666","1,092,875,288",213.00,217.00,210.00,215.50,+2.00,"3,858"
110/06/25,"5,021,195","1,080,298,007",217.00,220.50,210.00,213.50,-2.00,"3,751"
110/06/28,"4,975,155","1,072,643,527",214.50,221.50,212.00,214.00,+0.50,"3,319"
110/06/29,"10,641,379","2,420,009,609",217.00,235.00,213.50,235.00,+21.00,"6,570"
110/06/30,"18,671,169","4,125,598,200",234.50,234.50,212.00,218.00,-17.00,"14,015"
