日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/05/03,"307,319","61,851,641",201.00,203.00,200.00,201.50,+0.50,292
111/05/04,"325,981","66,922,877",204.00,207.50,203.00,206.00,+4.50,492
111/05/05,"389,301","82,292,643",210.00,213.00,209.50,210.50,+4.50,536
111/05/06,"289,149","59,473,501",204.00,208.00,203.50,207.50,-3.00,518
111/05/09,"310,494","63,620,454",207.50,207.50,203.00,203.50,-4.00,318
111/05/10,"246,695","49,709,813",197.00,205.50,197.00,205.00,+1.50,283
111/05/11,"410,610","84,102,789",207.00,207.50,202.50,203.50,-1.50,392
111/05/12,"3,639,730","800,988,594",210.50,223.50,210.50,223.50,+20.00,"2,967"
111/05/13,"3,974,713","879,289,930",220.00,225.00,218.00,222.50,-1.00,"4,416"
111/05/16,"1,532,142","336,088,944",223.50,224.50,214.50,214.50,-8.00,"1,570"
111/05/17,"684,314","149,095,763",216.00,220.00,215.00,219.00,+4.50,613
111/05/18,"843,599","186,002,829",221.50,222.50,218.00,221.00,+2.00,788
111/05/19,"563,419","122,734,634",214.50,221.50,214.50,220.00,-1.00,513
111/05/20,"302,031","66,554,641",220.50,222.00,218.50,219.50,-0.50,344
111/05/23,"354,763","78,037,834",221.50,223.00,218.00,218.00,-1.50,323
111/05/24,"394,227","85,001,882",218.00,219.50,212.50,213.50,-4.50,431
111/05/25,"251,092","53,686,523",214.50,215.50,211.50,214.50,+1.00,252
111/05/26,"231,661","49,586,077",216.00,216.00,212.50,212.50,-2.00,251
111/05/27,"276,415","59,536,145",214.00,216.50,214.00,216.00,+3.50,287
111/05/30,"569,940","125,384,549",218.50,222.50,217.50,220.50,+4.50,609
111/05/31,"716,064","159,749,539",221.00,225.50,220.50,223.00,+2.50,887
