日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/08/01,"3,792,221","820,927,370",222.00,225.00,210.00,216.50,-0.50,"5,422"
113/08/02,"4,518,609","911,787,568",210.00,211.00,195.00,196.00,-20.50,"4,754"
113/08/05,"2,342,196","417,614,743",187.00,187.00,176.50,176.50,-19.50,"2,472"
113/08/06,"4,152,276","710,518,488",177.00,181.50,159.50,172.00,-4.50,"3,762"
113/08/07,"2,560,422","460,439,857",173.50,184.00,173.50,179.50,+7.50,"2,610"
113/08/08,"3,786,321","653,403,340",176.00,177.00,169.00,170.50,-9.00,"4,473"
113/08/09,"4,831,393","846,552,149",175.00,181.50,170.50,171.00,+0.50,"4,296"
113/08/12,"3,843,475","666,362,760",173.00,177.00,169.50,171.50,+0.50,"3,042"
113/08/13,"3,235,533","565,384,861",173.50,178.00,170.50,174.50,+3.00,"3,036"
113/08/14,"2,496,815","445,660,389",178.50,182.00,175.50,177.50,+3.00,"2,339"
113/08/15,"1,640,849","290,314,010",176.50,179.50,175.00,176.00,-1.50,"3,556"
113/08/16,"1,712,751","307,815,259",180.00,182.00,178.00,179.00,+3.00,"1,696"
113/08/19,"1,991,617","362,697,520",180.00,184.50,178.50,182.50,+3.50,"1,969"
113/08/20,"2,080,393","381,276,324",183.00,185.50,181.50,183.00,+0.50,"1,764"
113/08/21,"1,836,732","332,032,797",181.50,184.50,177.50,180.00,-3.00,"1,689"
113/08/22,"1,189,498","215,362,643",181.50,183.00,179.50,180.00, 0.00,"1,352"
113/08/23,"1,734,196","311,447,346",180.00,182.50,176.50,181.50,+1.50,"1,786"
113/08/26,"2,223,168","405,977,852",182.50,185.00,180.50,180.50,-1.00,"2,182"
113/08/27,"1,975,510","352,321,966",180.00,182.00,176.50,178.50,-2.00,"1,789"
113/08/28,"2,521,772","444,107,558",180.00,180.00,173.50,176.00,-2.50,"2,303"
113/08/29,"2,242,136","395,825,343",173.50,179.50,172.00,179.00,+3.00,"2,369"
113/08/30,"3,815,978","702,666,161",180.50,187.50,179.50,184.00,+5.00,"3,399"
