日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/02/07,"1,315,940","303,700,712",225.00,235.50,225.00,235.50,+14.50,"1,612"
111/02/08,"777,437","180,466,187",232.00,237.00,229.00,230.50,-5.00,"2,559"
111/02/09,"758,334","179,670,071",235.00,240.00,231.00,239.00,+8.50,858
111/02/10,"1,354,088","321,406,426",238.50,242.00,234.00,236.00,-3.00,"1,321"
111/02/11,"643,725","151,134,338",234.00,239.00,232.00,232.50,-3.50,"1,323"
111/02/14,"1,007,508","225,546,168",230.00,230.00,221.50,221.50,-11.00,"1,507"
111/02/15,"674,422","150,264,524",221.00,226.00,220.50,221.00,-0.50,759
111/02/16,"899,111","200,020,538",226.00,227.00,220.00,220.00,-1.00,932
111/02/17,"833,993","185,690,627",221.00,226.00,221.00,222.00,+2.00,847
111/02/18,"2,095,539","450,367,171",218.00,219.00,211.00,216.00,-6.00,"2,175"
111/02/21,"868,017","185,291,393",216.50,216.50,211.00,213.50,-2.50,958
111/02/22,"999,972","213,216,341",213.50,216.50,210.00,214.00,+0.50,"1,199"
111/02/23,"1,427,880","309,429,046",214.00,221.50,211.00,218.00,+4.00,"2,190"
111/02/24,"3,019,073","655,725,530",215.00,225.50,211.00,211.00,-7.00,"3,705"
111/02/25,"3,010,750","649,677,791",212.50,223.00,212.00,213.50,+2.50,"3,327"
