日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/01/02,"1,504,620","468,983,045",316.50,318.00,309.00,310.00,-6.50,"2,824"
114/01/03,"1,318,858","405,474,591",313.50,314.50,303.50,303.50,-6.50,"3,239"
114/01/06,"1,112,032","341,931,083",310.00,310.50,304.00,308.50,+5.00,"4,086"
114/01/07,"864,052","268,856,850",312.00,314.00,309.50,309.50,+1.00,"2,480"
114/01/08,"1,247,829","380,788,481",308.50,311.50,302.50,304.00,-5.50,"2,851"
114/01/09,"1,474,087","441,972,098",305.00,306.00,296.50,296.50,-7.50,"2,187"
114/01/10,"1,088,533","321,878,490",296.00,300.00,292.50,295.50,-1.00,"2,310"
114/01/13,"2,418,196","676,246,273",293.50,293.50,272.50,276.00,-19.50,"3,629"
114/01/14,"1,133,718","315,536,764",280.00,281.50,273.00,280.00,+4.00,"3,683"
114/01/15,"683,719","190,793,552",281.50,282.50,276.50,278.00,-2.00,"1,292"
114/01/16,"734,513","207,841,361",284.50,285.00,280.50,282.50,+4.50,"1,143"
114/01/17,"659,773","186,028,231",282.50,285.00,279.00,283.00,+0.50,"1,582"
114/01/20,"1,956,294","572,451,026",293.00,298.50,287.00,295.50,+12.50,"5,251"
114/01/21,"2,607,525","791,380,420",299.00,308.00,295.00,304.00,+8.50,"4,900"
114/01/22,"1,898,233","579,523,864",307.00,311.00,301.00,301.00,-3.00,"5,692"
