日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/04/01,"2,095,958","212,397,633",99.40,102.00,99.40,101.50,+2.80,"1,954"
113/04/02,"2,802,936","287,702,932",102.00,103.00,101.50,103.00,+1.50,"2,365"
113/04/03,"1,944,116","199,392,433",102.00,103.50,101.50,102.00,-1.00,"2,191"
113/04/08,"2,923,284","293,911,654",102.00,102.00,99.50,101.00,-1.00,"2,211"
113/04/09,"1,547,717","155,252,151",101.00,101.50,99.70,101.00, 0.00,"1,367"
113/04/10,"2,017,160","202,588,371",101.00,101.50,99.70,99.70,-1.30,"1,757"
113/04/11,"1,924,233","193,197,503",99.70,101.00,99.30,101.00,+1.30,"1,517"
113/04/12,"3,572,878","352,751,757",101.50,101.50,97.60,97.80,-3.20,"3,555"
113/04/15,"2,605,655","253,752,141",97.80,98.20,96.60,97.20,-0.60,"2,267"
113/04/16,"2,981,349","286,481,724",97.00,97.00,95.20,96.00,-1.20,"3,327"
113/04/17,"1,888,340","183,370,268",96.60,97.70,96.20,97.50,+1.50,"1,673"
113/04/18,"1,746,955","167,942,652",96.90,97.00,95.80,95.80,-1.70,"1,684"
113/04/19,"3,929,183","371,659,160",95.40,95.90,93.00,94.00,-1.80,"3,071"
113/04/22,"2,263,948","214,352,244",94.40,95.50,93.80,94.50,+0.50,"1,763"
113/04/23,"1,243,766","118,803,896",95.30,96.90,94.80,95.30,+0.80,"1,204"
113/04/24,"2,751,918","268,912,705",96.20,98.70,96.10,97.10,+1.80,"2,443"
113/04/25,"1,134,533","110,045,350",97.50,97.90,96.30,96.80,-0.30,"1,471"
113/04/26,"1,031,878","99,974,583",97.20,97.40,96.40,97.00,+0.20,934
113/04/29,"1,575,769","153,916,815",97.10,98.10,96.90,97.90,+0.90,"1,305"
113/04/30,"5,004,084","476,817,057",97.00,97.00,94.00,95.30,-2.60,"4,671"
