日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/08/01,"2,003,162","229,146,427",115.50,116.50,113.50,114.00, 0.00,"1,748"
113/08/02,"2,376,985","265,854,628",113.00,113.00,111.00,111.00,-3.00,"2,097"
113/08/05,"6,109,720","622,422,726",108.50,109.00,99.90,99.90,-11.10,"4,657"
113/08/06,"6,257,313","611,764,949",102.00,102.50,93.50,99.60,-0.30,"4,484"
113/08/07,"3,014,371","313,291,748",99.90,106.00,99.80,105.50,+5.90,"2,624"
113/08/08,"2,159,785","228,549,357",103.50,107.50,103.00,106.50,+1.00,"1,754"
113/08/09,"2,592,188","279,300,210",108.00,109.00,106.50,107.00,+0.50,"1,948"
113/08/12,"814,068","88,333,976",106.50,109.50,106.50,109.00,+2.00,810
113/08/13,"848,605","91,702,549",109.50,109.50,107.00,108.50,-0.50,909
113/08/14,"1,438,852","155,609,283",109.00,109.50,107.50,108.00,-0.50,"1,208"
113/08/15,"842,688","90,712,780",108.00,109.00,107.00,107.00,-1.00,873
113/08/16,"1,239,664","133,804,533",108.00,108.50,107.00,108.00,+1.00,933
113/08/19,"1,356,819","147,702,315",108.50,109.50,108.00,109.00,+1.00,981
113/08/20,"1,451,761","160,382,982",109.50,111.50,109.50,109.50,+0.50,"1,225"
113/08/21,"799,290","88,129,802",109.50,111.50,109.00,110.00,+0.50,866
113/08/22,"522,219","57,428,490",111.00,111.50,109.00,109.00,-1.00,672
113/08/23,"801,046","87,283,492",108.50,110.00,108.00,110.00,+1.00,759
113/08/26,"1,008,003","111,263,120",110.50,111.50,109.50,110.50,+0.50,697
113/08/27,"921,892","101,514,365",110.50,111.00,109.50,110.00,-0.50,690
113/08/28,"1,076,999","119,272,720",111.00,111.50,109.50,111.00,+1.00,875
113/08/29,"831,678","91,132,425",110.00,110.00,109.00,109.50,-1.50,787
113/08/30,"1,419,858","157,433,981",109.50,112.00,109.50,111.50,+2.00,"1,226"
